add-s,12,40,960,2678000,2789,0
add-s,12,80,1920,5424000,2825,0
add-s,12,100,2400,3894000,1622,0
add-s,12,1000,24000,71823000,2992,0
add-s,12,10000,240000,893452000,3722,0
add-c,1,10,20,64000,3200,0
add-c,1,20,40,77000,1925,0
add-c,1,40,80,81000,1012,0
add-c,1,80,160,67000,418,0
add-c,1,100,200,92000,460,0
add-c,1,1000,2000,85000,42,0
add-c,1,10000,20000,245000,12,0
add-c,2,10,40,114000,2850,0
add-c,2,20,80,106000,1325,0
add-c,2,40,160,113000,706,0
add-c,2,80,320,119000,371,0
add-c,2,100,400,107000,267,0
add-c,2,1000,4000,215000,53,0
add-c,2,10000,40000,4486000,112,0
add-c,4,10,80,181000,2262,0
add-c,4,20,160,169000,1056,0
add-c,4,40,320,176000,550,0
add-c,4,80,640,161000,251,0
add-c,4,100,800,169000,211,0
add-c,4,1000,8000,2010000,251,0
add-c,4,10000,80000,23187000,289,0
add-c,8,10,160,507000,3168,0
add-c,8,20,320,378000,1181,0
add-c,8,40,640,400000,625,0
add-c,8,80,1280,385000,300,0
add-c,8,100,1600,661000,413,0
add-c,8,1000,16000,9699000,606,0
add-c,8,10000,160000,99295000,620,0
add-c,12,10,240,672000,2800,0
add-c,12,20,480,641000,1335,0
add-c,12,40,960,413000,430,0
add-c,12,80,1920,512000,266,0
add-c,12,100,2400,930000,387,0
add-c,12,1000,24000,17827000,742,0
add-c,12,10000,240000,280267000,1167,0
add-yield-m,1,10,20,82000,4100,0
add-yield-m,1,20,40,85000,2125,0
add-yield-m,1,40,80,95000,1187,0
add-yield-m,1,80,160,118000,737,0
add-yield-m,1,100,200,131000,655,0
add-yield-m,1,1000,2000,689000,344,0
add-yield-m,1,10000,20000,5536000,276,0
add-yield-m,2,10,40,120000,3000,0
add-yield-m,2,20,80,171000,2137,0
add-yield-m,2,40,160,413000,2581,0
add-yield-m,2,80,320,402000,1256,0
add-yield-m,2,100,400,508000,1270,0
add-yield-m,2,1000,4000,4270000,1067,0
add-yield-m,2,10000,40000,48906000,1222,0
add-yield-m,4,10,80,1069000,13362,0
add-yield-m,4,20,160,829000,5181,0
add-yield-m,4,40,320,1388000,4337,0
add-yield-m,4,80,640,2865000,4476,0
add-yield-m,4,100,800,3794000,4742,0
add-yield-m,4,1000,8000,35462000,4432,0
add-yield-m,4,10000,80000,356626000,4457,0
add-yield-m,8,10,160,1685000,10531,0
add-yield-m,8,20,320,3430000,10718,0
add-yield-m,8,40,640,4848000,7575,0
add-yield-m,8,80,1280,9328000,7287,0
add-yield-m,8,100,1600,11874000,7421,0
add-yield-m,8,1000,16000,120564000,7535,0
add-yield-m,8,10000,160000,1278274000,7989,0
add-yield-m,12,10,240,3444000,14350,0
add-yield-m,12,20,480,4358000,9079,0
add-yield-m,12,40,960,11564000,12045,0
add-yield-m,12,80,1920,22615000,11778,0
add-yield-m,12,100,2400,24116000,10048,0
add-yield-m,12,1000,24000,249563000,10398,0
add-yield-m,12,10000,240000,2649411000,11039,0
add-yield-s,1,10,20,106000,5300,0
add-yield-s,1,20,40,113000,2825,0
add-yield-s,1,40,80,146000,1825,0
add-yield-s,1,80,160,164000,1025,0
add-yield-s,1,100,200,190000,950,0
add-yield-s,1,1000,2000,544000,272,0
add-yield-s,2,10,40,336000,8400,0
add-yield-s,2,20,80,208000,2600,0
add-yield-s,2,40,160,179000,1118,0
add-yield-s,2,80,320,346000,1081,0
add-yield-s,2,100,400,347000,867,0
add-yield-s,2,1000,4000,2796000,699,0
add-yield-s,4,10,80,301000,3762,0
add-yield-s,4,20,160,356000,2225,0
add-yield-s,4,40,320,808000,2525,0
add-yield-s,4,80,640,994000,1553,0
add-yield-s,4,100,800,1523000,1903,0
add-yield-s,4,1000,8000,12633000,1579,0
add-yield-s,8,10,160,1954000,12212,0
add-yield-s,8,20,320,2503000,7821,0
add-yield-s,8,40,640,2265000,3539,0
add-yield-s,8,80,1280,11593000,9057,0
add-yield-s,8,100,1600,6012000,3757,0
add-yield-s,8,1000,16000,34299000,2143,0
add-yield-s,12,10,240,2338000,9741,0
add-yield-s,12,20,480,155874000,324737,0
add-yield-s,12,40,960,17581000,18313,0
add-yield-s,12,80,1920,12529000,6525,0
add-yield-s,12,100,2400,12963000,5401,0
add-yield-s,12,1000,24000,127626000,5317,0
add-yield-c,1,10,20,79000,3950,0
add-yield-c,1,20,40,131000,3275,0
add-yield-c,1,40,80,340000,4250,0
add-yield-c,1,80,160,118000,737,0
add-yield-c,1,100,200,166000,830,0
add-yield-c,1,1000,2000,624000,312,0
add-yield-c,1,10000,20000,5552000,277,0
add-yield-c,2,10,40,160000,4000,0
add-yield-c,2,20,80,167000,2087,0
add-yield-c,2,40,160,194000,1212,0
add-yield-c,2,80,320,331000,1034,0
add-yield-c,2,100,400,371000,927,0
add-yield-c,2,1000,4000,2337000,584,0
add-yield-c,2,10000,40000,21809000,545,0
add-yield-c,4,10,80,265000,3312,0
add-yield-c,4,20,160,316000,1975,0
add-yield-c,4,40,320,476000,1487,0
add-yield-c,4,80,640,890000,1390,0
add-yield-c,4,100,800,916000,1145,0
add-yield-c,4,1000,8000,7748000,968,0
add-yield-c,4,10000,80000,73170000,914,0
add-yield-c,8,10,160,723000,4518,0
add-yield-c,8,20,320,1109000,3465,0
